,AP,Nationality_codes,Gender_codes,Discipline_codes,experience_dive,experience_discipline,Points
830,-0.811764712403625,1.0237107919472823,-1.335885296659696,1.2990321035432058,-0.40757906918912506,-0.4195199544315295,-1.645287976356245
831,-1.0246448507389099,1.0237107919472823,-1.335885296659696,1.2990321035432058,-0.3448136527037031,-0.2798221059966489,-1.645287976356245
834,1.5299168092845083,-0.9211818922037319,-1.335885296659696,-0.522575840646641,-0.5958753186453908,-0.4195199544315295,-1.645287976356245
841,1.6576448922856792,-0.9211818922037319,-1.335885296659696,0.38822813144828233,-0.1565174032474374,-0.2798221059966489,-1.645287976356245
863,1.4447647539503945,-0.9211818922037319,-1.335885296659696,-0.522575840646641,-0.5331099021599689,-0.5592178028664101,-1.645287976356245
904,2.9349257222973884,1.2874250542050472,-1.335885296659696,-0.522575840646641,0.973260093490157,1.6759477720916791,-1.645287976356245
906,2.3388613349585907,1.2874250542050472,-1.335885296659696,0.38822813144828233,1.0987909264610007,-0.2798221059966489,-1.645287976356245
924,0.1674839239386853,-0.03114625708377622,0.7485672628484212,1.2990321035432058,-0.5331099021599689,-0.2798221059966489,-1.645287976356245
927,1.6576448922856792,-0.03114625708377622,-1.335885296659696,1.2990321035432058,-0.5958753186453908,-0.5592178028664101,-1.645287976356245
928,2.040829141289192,-0.03114625708377622,-1.335885296659696,-0.522575840646641,-0.5331099021599689,-0.4195199544315295,-1.645287976356245
929,2.040829141289192,-0.03114625708377622,-1.335885296659696,-0.522575840646641,-0.47034448567454695,-0.2798221059966489,-1.645287976356245
936,0.4655161176080841,-0.03114625708377622,-1.335885296659696,-1.4333798127415645,-0.030986570276593572,-0.5592178028664101,-1.645287976356245
947,0.4655161176080841,-0.03114625708377622,-1.335885296659696,1.2990321035432058,0.6594330110630474,0.13927143930799274,-1.645287976356245
954,2.7646216116291606,-0.03114625708377622,-1.335885296659696,-0.522575840646641,1.0987909264610007,1.3965520752219178,-1.645287976356245
955,2.7646216116291606,-0.03114625708377622,-1.335885296659696,-0.522575840646641,1.1615563429464228,1.5362499236567984,-1.645287976356245
958,2.2537092796244766,-0.03114625708377622,-1.335885296659696,0.38822813144828233,1.3498525924026885,-0.5592178028664101,-1.645287976356245
967,-0.17312429739777047,1.0896393575117236,0.7485672628484212,1.2990321035432058,-0.47034448567454695,-0.4195199544315295,-1.645287976356245
970,-1.0246448507389099,1.0896393575117236,0.7485672628484212,-1.4333798127415645,-0.28204823621828123,-0.5592178028664101,-1.645287976356245
1015,-0.5988845740683402,0.5951751157784149,0.7485672628484212,-1.4333798127415645,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
1028,-1.1097969060730237,-0.0641105398659968,0.7485672628484212,1.2990321035432058,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
1032,-1.2375249890741946,1.221496488640606,0.7485672628484212,-1.4333798127415645,-0.5331099021599689,-0.4195199544315295,-1.645287976356245
1036,-1.1097969060730237,-0.9541461749859526,0.7485672628484212,1.2990321035432058,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
1040,0.6783962559433689,1.3863179025517087,0.7485672628484212,1.2990321035432058,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
1048,0.8912763942786538,1.3863179025517087,0.7485672628484212,0.38822813144828233,-0.1565174032474374,-0.5592178028664101,-1.645287976356245
1051,-0.17312429739777047,1.3863179025517087,0.7485672628484212,-1.4333798127415645,0.031778846208828336,-0.5592178028664101,-1.645287976356245
1053,-0.811764712403625,1.6500321648094736,0.7485672628484212,-1.4333798127415645,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
1061,1.1467325602809957,-1.8441818101059082,0.7485672628484212,-1.4333798127415645,-0.28204823621828123,-0.4195199544315295,-1.645287976356245
1065,0.1674839239386853,1.8148535787205764,0.7485672628484212,1.2990321035432058,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
