,Name,Nationality,Nationality_codes,Gender,Gender_codes,Discipline,Discipline_codes,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Year,month,experience_dive,experience_discipline
479,Andrea Blaesi,CHE,15,F,0,CWT,1,52.0,52.0,WHITE,52.0,Ok,Depth World Championship,Depth Competition,2024-09-14,2024,9,3,1
480,Andrea Felani,ESP,29,F,0,CWT,1,68.0,68.0,WHITE,68.0,Ok,Freediving Lanzarote Cup ``Luigino Ceppi``,Depth Competition,2023-09-23,2023,9,1,1
481,Andrea Felani,ESP,29,F,0,CNF,0,35.0,35.0,WHITE,35.0,Ok,Freediving Lanzarote Cup ``Luigino Ceppi``,Depth Competition,2023-09-24,2023,9,2,1
482,Andrea Giaier,ITA,46,M,1,FIM,3,48.0,0.0,RED,0.0,Dqbo,Depth World Championship,Depth Competition,2023-09-16,2023,9,1,1
483,Andrea Perniola,ITA,46,M,1,CWT,1,30.0,30.0,WHITE,30.0,Ok,Apnea Pirates AIDA Cup - December 2023,Mixed Competition,2023-12-10,2023,12,1,1
484,Andrea Perniola,ITA,46,M,1,CWT,1,45.0,45.0,WHITE,45.0,Ok,Apnea Pirates AIDA Cup - June 2024,Mixed Competition,2024-06-08,2024,6,2,2
485,Andrea Perniola,ITA,46,M,1,FIM,3,30.0,30.0,WHITE,30.0,Ok,Apnea Pirates AIDA Cup - June 2024,Mixed Competition,2024-06-08,2024,6,3,1
486,Andrei Chernyshev,RUS,77,M,1,FIM,3,18.0,18.0,WHITE,18.0,Ok,AIDA Limassol Mini Depth Challenge,Depth Competition,2019-06-30,2019,6,1,1
487,Andrei Novikov,RUS,77,M,1,FIM,3,30.0,30.0,WHITE,30.0,Ok,AIDA Limassol Mini Depth Challenge,Depth Competition,2019-06-30,2019,6,1,1
488,Andrei Novikov,RUS,77,M,1,FIM,3,35.0,35.0,WHITE,35.0,Ok,Cyprus Depth Games 2019.,Depth Competition,2019-07-25,2019,7,2,2
489,Andrei Novikov,RUS,77,M,1,FIM,3,37.0,37.0,WHITE,37.0,Ok,Cyprus Depth Games 2019.,Depth Competition,2019-07-26,2019,7,3,3
490,Andres Leon,CRC,20,M,1,CNF,0,18.0,18.0,WHITE,18.0,Ok,AIDA Pura Vida Challenge,Depth Competition,2024-01-26,2024,1,1,1
491,Andres Leon,CRC,20,M,1,FIM,3,25.0,25.0,WHITE,25.0,Ok,AIDA Pura Vida Challenge,Depth Competition,2024-01-27,2024,1,2,1
492,Andres Leon,CRC,20,M,1,CWTB,2,31.0,31.0,WHITE,31.0,Ok,AIDA Pura Vida Challenge,Depth Competition,2024-01-28,2024,1,3,1
493,Andres Leon,CRC,20,M,1,CNF,0,30.0,30.0,WHITE,30.0,Ok,Depth World Championship,Depth Competition,2024-09-07,2024,9,4,2
494,Andres Leon,CRC,20,M,1,CWTB,2,40.0,33.0,RED,0.0,"No tag,under ap,dqother-dolphin-kick",Depth World Championship,Depth Competition,2024-09-10,2024,9,5,2
495,Andres Leon,CRC,20,M,1,CWT,1,35.0,35.0,WHITE,35.0,Ok,Depth World Championship,Depth Competition,2024-09-14,2024,9,6,1
496,Andres Leon,CRC,20,M,1,FIM,3,40.0,26.0,YELLOW,11.0,"UNDER AP,no tag",Depth World Championship,Depth Competition,2024-09-15,2024,9,7,2
497,Andrew Ryzebol,CAN,14,M,1,CWTB,2,63.0,63.0,WHITE,63.0,Ok,AIDA EPREUVE SPECIALE INDIVIDUELLE APNEACITY 2020,Depth Competition,2020-09-26,2020,9,1,1
498,Andrey Bondarev,RUS,77,M,1,FIM,3,41.0,41.0,WHITE,41.0,Ok,AIDA Lazurnaya Glubina 2021,Depth Competition,2021-07-18,2021,7,1,1
499,Andrey Matveenko,RUS,77,M,1,CWT,1,105.0,105.0,WHITE,105.0,Ok,Russian Open depth Championship 2019,Depth Competition,2019-05-22,2019,5,1,1
500,Andrey Matveenko,RUS,77,M,1,FIM,3,105.0,105.0,WHITE,105.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-11,2019,9,2,1
501,Andrey Matveenko,RUS,77,M,1,CWT,1,119.0,119.0,WHITE,119.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-13,2019,9,3,2
502,Andrey Matveenko,RUS,77,M,1,FIM,3,80.0,80.0,WHITE,80.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-19,2021,7,4,2
503,Andrey Matveenko,RUS,77,M,1,CWT,1,85.0,85.0,WHITE,85.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-20,2021,7,5,3
504,Andrey Matveenko,RUS,77,M,1,FIM,3,106.0,106.0,WHITE,106.0,Ok,Depth World Championship,Depth Competition,2021-09-25,2021,9,6,3
505,Andrey Matveenko,RUS,77,M,1,CWT,1,123.0,123.0,RED,0.0,Dqsp,Depth World Championship,Depth Competition,2021-09-29,2021,9,7,4
506,Andrey Matveenko,AIN,0,M,1,CWT,1,125.0,125.0,WHITE,125.0,Ok,Depth World Championship,Depth Competition,2023-09-14,2023,9,8,5
507,Andrey Matveenko,AIN,0,M,1,CWTB,2,111.0,111.0,WHITE,111.0,Ok,Depth World Championship,Depth Competition,2023-09-24,2023,9,9,1
508,Andrey Matveenko,AIN,0,M,1,FIM,3,121.0,1.0,RED,0.0,"No tag,under ap,dqbo-surface",Depth World Championship,Depth Competition,2023-09-27,2023,9,10,4
509,Andrey Matveenko,AIN,0,M,1,CWT,1,126.0,126.0,RED,0.0,Dqsp,Depth World Championship,Depth Competition,2023-09-29,2023,9,11,6
510,Andrey Matveenko,AIN,0,M,1,CWTB,2,112.0,112.0,WHITE,112.0,Ok,Depth World Championship,Depth Competition,2024-09-10,2024,9,12,2
